gap_length,gap_in_tau,RR_error,DET_error,RR_rel_error,DET_rel_error
75,3.0,0.2867751159051868,0.25390593843171416,9.298134713328857,0.7167703302735998
75,3.0,0.2963839198000251,0.33415436618488314,9.609681804038445,0.9433097031604828
75,3.0,0.22818888896184575,0.04259942217433377,7.398588343186534,0.12025713967132592
75,3.0,0.24706909762401308,0.6684921310955261,8.010743003127917,1.8871371364931961
75,3.0,0.30265509879278785,0.07355124919752853,9.81301279006927,0.2076333996163181
75,3.0,0.2796412457301076,0.04830336193678875,9.06683261549546,0.1363592238236236
75,3.0,0.329113655522562,0.42358234725985966,10.67088089350343,1.1957627333130294
75,3.0,0.2780168810683228,0.2324228322013795,9.014165697722024,0.6561240403792771
75,3.0,0.23881191059327156,0.8440789588122897,7.743019504446217,2.382814509269911
75,3.0,0.3468503437884971,0.39423306276823666,11.245959091430159,1.1129104122200664
75,3.0,0.24916016407295283,0.40357520784180423,8.078541833843731,1.139283062073019
75,3.0,0.29806485437540475,0.19326369954561784,9.664182893077633,0.5455787549075602
75,3.0,0.28522550434350835,0.06717472908458433,9.247891521870844,0.189632637382943
75,3.0,0.2631147495442838,0.3524834487486075,8.53099258143229,0.9950522604396072
75,3.0,0.30433805372222444,0.3573042344250723,9.867579385225092,1.0086612219425979
75,3.0,0.2699556683811051,0.22752471571166666,8.752796292353787,0.6422967758586631
75,3.0,0.2931170072899425,0.30211631204781497,9.503758413441856,0.852867050314355
75,3.0,0.24676200380735702,0.0227357415532623,8.000786073399597,0.06418244914948998
75,3.0,0.3055765307591325,0.3826104916586459,9.907734634721505,1.0801001747584869
75,3.0,0.2794553731568685,0.3129064671416444,9.060806052765166,0.8833273974731415
75,3.0,0.2818919201495462,0.16164882655730395,9.139806429425336,0.45633073222105647
75,3.0,0.276289478349633,0.24203471238731566,8.95815796800025,0.6832581459381222
75,3.0,0.27134971268039854,0.10815054690127823,8.797995512831006,0.3053063811760659
75,3.0,0.23359535641823514,0.5081763161827269,7.573882711298157,1.4345694639413689
