filename,eDim,tLag,rescale,radius,perc_recur,perc_determ,maxl_found,mean_line,std_line,count_line,entropy,laminarity,trapping_time,vmax,divergence,trend_lower_diag,trend_upper_diag
P004_T10_PC4, 4, 10, 1, 20.0, 0.334, 83.116, 29.00, 3.42, 2.67, 856, 2.276, 0.915, 4.041, 16.00, 0.034, -0.166, -0.030
P004_T10_PC5, 4, 10, 1, 20.0, 0.367, 86.068, 35.00, 3.31, 1.97, 1008, 2.247, 0.888, 3.441, 12.00, 0.029, -0.429, -0.772
P004_T10_PC6, 4, 10, 1, 20.0, 0.256, 84.347, 38.00, 3.80, 3.39, 598, 2.486, 0.873, 3.909, 14.00, 0.026, -0.494, -0.432
P004_T10_PC7, 4, 10, 1, 20.0, 0.291, 78.082, 18.00, 3.00, 1.74, 797, 1.943, 0.839, 3.143, 13.00, 0.056, -0.268, -0.664
P004_T10_PC8, 4, 10, 1, 20.0, 0.592, 88.563, 45.00, 3.89, 3.51, 1421, 2.579, 0.923, 4.329, 33.00, 0.022, -1.742, -0.602
P004_T10_PC9, 4, 10, 1, 20.0, 1.471, 89.667, 33.00, 3.67, 2.85, 3789, 2.469, 0.943, 4.309, 22.00, 0.030, 4.607, 0.825
P004_T10_PC10, 4, 10, 1, 20.0, 0.719, 89.223, 25.00, 3.33, 2.16, 2033, 2.255, 0.955, 4.475, 36.00, 0.040, -0.746, -0.584
P004_T10_PC11, 4, 10, 1, 20.0, 1.731, 94.336, 66.00, 5.09, 5.57, 3380, 3.108, 0.974, 6.002, 28.00, 0.015, -3.049, -1.466
P004_T10_PC12, 4, 10, 1, 20.0, 0.500, 84.577, 25.00, 3.34, 2.46, 1336, 2.214, 0.910, 3.786, 17.00, 0.040, -0.812, -1.037
P004_T10_PC13, 4, 10, 1, 20.0, 2.428, 95.021, 56.00, 5.00, 5.35, 4863, 3.096, 0.976, 5.914, 44.00, 0.018, -1.296, 1.074
P004_T10_PC14, 4, 10, 1, 20.0, 0.472, 71.920, 12.00, 2.53, 1.04, 1415, 1.404, 0.904, 3.652, 38.00, 0.083, -0.414, -0.142
P004_T11_PC1, 4, 10, 1, 20.0, 3.774, 97.459, 88.00, 6.96, 8.15, 5437, 3.720, 0.982, 7.850, 44.00, 0.011, -8.512, -10.291
P004_T11_PC2, 4, 10, 1, 20.0, 0.239, 74.380, 16.00, 2.93, 1.60, 624, 1.894, 0.793, 3.332, 13.00, 0.062, -0.280, -0.483
P004_T11_PC3, 4, 10, 1, 20.0, 0.291, 62.596, 13.00, 2.83, 1.46, 662, 1.784, 0.833, 3.603, 46.00, 0.077, -0.028, 0.065
